乘	乘 乗
亂	亂 乱
亙	亙 亘
亞	亞 亜
佛	佛 仏
來	來 来
假	假 仮
傳	傳 伝
僞	僞 偽
價	價 価
儉	儉 倹
兒	兒 児
內	內 内
兩	兩 両
剎	剎 刹
剩	剩 剰
劍	劍 剣
劑	劑 剤
勞	勞 労
勳	勳 勲
勵	勵 励
勸	勸 勧
勻	勻 匀
區	區 区
卷	卷 巻
卻	卻 却
參	參 参
吳	吳 呉
咒	咒 呪
啞	啞 唖
單	單 単
噓	噓 嘘
嚙	嚙 噛
嚴	嚴 厳
囑	囑 嘱
圈	圈 圏
國	國 国
圍	圍 囲
圓	圓 円
圖	圖 図
團	團 団
增	增 増
墮	墮 堕
壓	壓 圧
壘	壘 塁
壞	壞 壊
壤	壤 壌
壯	壯 壮
壹	壹 壱
壽	壽 寿
奧	奧 奥
奬	奬 奨
妝	妝 粧
孃	孃 嬢
學	學 学
寢	寢 寝
實	實 実
寫	寫 写
寬	寬 寛
寶	寶 宝
將	將 将
專	專 専
對	對 対
屆	屆 届
屬	屬 属
峯	峯 峰
峽	峽 峡
嶽	嶽 岳
巖	巖 巌
巢	巢 巣
帶	帶 帯
廁	廁 厠
廢	廢 廃
廣	廣 広
廳	廳 庁
彈	彈 弾
彌	彌 弥
彎	彎 弯
彥	彥 彦
徑	徑 径
從	從 従
徵	徵 徴
德	德 徳
恆	恆 恒
悅	悅 悦
惠	惠 恵
惡	惡 悪
惱	惱 悩
慘	慘 惨
應	應 応
懷	懷 懐
戀	戀 恋
戰	戰 戦
戲	戲 戯
戶	戶 戸
戾	戾 戻
拂	拂 払
拔	拔 抜
拜	拜 拝
挾	挾 挟
插	插 挿
揭	揭 掲
搔	搔 掻
搖	搖 揺
搜	搜 捜
摑	摑 掴
擇	擇 択
擊	擊 撃
擔	擔 担
據	據 拠
擴	擴 拡
攝	攝 摂
攪	攪 撹
收	收 収
效	效 効
敕	敕 勅
敘	敘 叙
數	數 数
斷	斷 断
晉	晉 晋
晚	晚 晩
晝	晝 昼
暨	暨 曁
曆	曆 暦
曉	曉 暁
曾	曾 曽
會	會 会
枡	枡 桝
查	查 査
條	條 条
棧	棧 桟
棱	棱 稜
榆	榆 楡
榮	榮 栄
樂	樂 楽
樓	樓 楼
樞	樞 枢
樣	樣 様
橫	橫 横
檢	檢 検
櫻	櫻 桜
權	權 権
歐	歐 欧
歡	歡 歓
步	步 歩
歲	歲 歳
歷	歷 歴
歸	歸 帰
殘	殘 残
殼	殼 殻
毆	毆 殴
每	每 毎
氣	氣 気
污	污 汚
沒	沒 没
涉	涉 渉
淚	淚 涙
淨	淨 浄
淺	淺 浅
渴	渴 渇
潑	潑 溌
溪	溪 渓
溫	溫 温
溼	溼 湿
滯	滯 滞
滿	滿 満
潛	潛 潜
澀	澀 渋
澤	澤 沢
濟	濟 済
濤	濤 涛
濱	濱 浜
濾	濾 沪
瀧	瀧 滝
瀨	瀨 瀬
灣	灣 湾
焰	焰 焔
燈	燈 灯
燒	燒 焼
營	營 営
爐	爐 炉
爭	爭 争
爲	爲 為
牀	牀 床
犧	犧 犠
狀	狀 状
狹	狹 狭
獨	獨 独
獵	獵 猟
獸	獸 獣
獻	獻 献
瓣	瓣 弁
產	產 産
畫	畫 画
當	當 当
疊	疊 畳
疎	疎 疏
痹	痹 痺
瘦	瘦 痩
癡	癡 痴
發	發 発
皋	皋 皐
盜	盜 盗
盡	盡 尽
碎	碎 砕
祕	祕 秘
祿	祿 禄
禦	禦 御
禪	禪 禅
禮	禮 礼
禱	禱 祷
稅	稅 税
稱	稱 称
稻	稻 稲
穎	穎 頴
穗	穗 穂
穩	穩 穏
穰	穰 穣
竈	竈 竃
竊	竊 窃
粹	粹 粋
糉	糉 粽
絕	絕 絶
絲	絲 糸
經	經 経
綠	綠 緑
緖	緖 緒
緣	緣 縁
縣	縣 県
縱	縱 縦
總	總 総
繫	繫 繋
繡	繡 繍
繩	繩 縄
繪	繪 絵
繼	繼 継
續	續 続
纔	纔 才
纖	纖 繊
缺	缺 欠
罐	罐 缶
羣	羣 群
聯	聯 連
聰	聰 聡
聲	聲 声
聽	聽 聴
肅	肅 粛
脣	脣 唇
脫	脫 脱
腦	腦 脳
腳	腳 脚
膽	膽 胆
臟	臟 臓
臺	臺 台
與	與 与
舉	舉 挙
舊	舊 旧
舍	舍 舎
荔	荔 茘
莊	莊 荘
莖	莖 茎
菸	菸 煙
萊	萊 莱
萬	萬 万
蔣	蔣 蒋
蔥	蔥 葱
薰	薰 薫
藏	藏 蔵
藝	藝 芸
藥	藥 薬
蘆	蘆 芦
處	處 処
虛	虛 虚
號	號 号
螢	螢 蛍
蟲	蟲 虫
蠟	蠟 蝋
蠶	蠶 蚕
蠻	蠻 蛮
裝	裝 装
覺	覺 覚
覽	覽 覧
觀	觀 観
觸	觸 触
說	說 説
謠	謠 謡
證	證 証
譯	譯 訳
譽	譽 誉
讀	讀 読
變	變 変
讓	讓 譲
豐	豐 豊
豫	豫 予
貓	貓 猫
貳	貳 弐
賣	賣 売
賴	賴 頼
贊	贊 賛
贗	贗 贋
踐	踐 践
輕	輕 軽
輛	輛 輌
轉	轉 転
辨	辨 弁
辭	辭 辞
辯	辯 弁
遞	遞 逓
遥	遥 遙
遲	遲 遅
邊	邊 辺
鄉	鄉 郷
酢	酢 醋
醉	醉 酔
醱	醱 醗
醫	醫 医
醬	醬 醤
釀	釀 醸
釋	釋 釈
鋪	鋪 舗
錄	錄 録
錢	錢 銭
鍊	鍊 錬
鐵	鐵 鉄
鑄	鑄 鋳
鑛	鑛 鉱
閱	閱 閲
關	關 関
陷	陷 陥
隨	隨 随
險	險 険
隱	隱 隠
雙	雙 双
雜	雜 雑
雞	雞 鶏
霸	霸 覇
靈	靈 霊
靜	靜 静
顏	顏 顔
顯	顯 顕
餘	餘 余
