的说	です
早上好	おはよう
早安	おはよう
非常感謝	ありがとうございますか
晚安	おやすみなさい
拜托了	お願いしマス
晚上好	こんばんは
早上好	おはようございます
晚安	お休みなさい
你好吗	お元気ですか
多少钱	いくらですか
不好意思	すみません
对不起	ごめんなさい
什么意思	どういうことですか
没什么	まだまだです 别に
发生了什么	どうしたの どうしたんですか
没什么事	なんでもない
请稍等一下	ちょっと待ってください
就这么说定了	约束します
不用了	けっこうです もういいです
为什么	なぜ どうして
那我开动了	いただきます i ta da ki ma su
我吃饱了	ごちそうさまでした
谢谢	ありがとうございます
别客气	どういたしまして
我好高兴	うれしい
欢迎光临	いらしゃいませ
欢迎下次光临	また、どうぞお越しください
嗯	うん
好的	いいわよ
不是那样的	ううん、そうじゃない
加油	がんばってください
辛苦了	さま れさま
别客气	どうぞ远虑 なく
好漂亮	きれい
我回来了	ただいま
您回来啦	おかえり
告诉我吧	を教えてください
电话号码	电话番号
不得了啦	たいへん
打搅了	おじゃまします おじゃましました
初次见面请多关照	はじめまして
请多关照	どうぞよろしくおねがいします
多谢您长久以来的关照	いままでありがとうございます いままでおせわになにました
让您久等了	お待たせいたしました
请别开玩笑	冗谈 を言わないでください
拜托你了	おねがいします
说的对	そのとおりです
原来如此	なるほど
这样可以吗	これでいいですか
好	よし
出发	いくぞ
我走了	いってきます
您好走	いってらしゃい
再见	では,また じゃ,またね
真令人难以相信	じられない
啊对了	あ、そうだあ
好久不见	しばらくですね おひさしぶりです
和你没关系	ないでしょう
怎么办	どうしようかな どうすればいい
