English VP,Japanese VP
eat,たべる (taberu)
ate,たべた (tabeta)
will eat,たべる (taberu)
doesn't eat,たべない (tabenai)
didn't eat,たべなかった (tabenakatta)
won't eat,たべない (tabenai)
eating,たべている (tabeteiru)
was eating,たべていた (tabeteita)
will be eating,たべている (tabeteiru)
not eating,たべていない (tabeteinai)
was not eating,たべていなかった (tabeteinakatta)
will not be eating,たべていない (tabeteinai)
have ate,たべた (tabeta)
had ate,たべた (tabeta)
will have ate,たべる (taberu)
have not ate,たべなかった (tabenakatta)
had not ate,たべなかった (tabenakatta)
will have not ate,たべない (tabenai)
have being eating,たべている (tabeteiru)
had been eating,たべていた (tabeteita)
will have been eating,たべている (tabeteiru)
have not being eating,たべていない (tabeteinai)
had not been eating,たべていなかった (tabeteinakatta)
will have not been eating,たべていない (tabeteinai)
drink,のむ (nomu)
drank,のんだ (nonnda)
will drink,のむ (nomu)
doesn't drink,のまない (nomanai)
didn't drink,のまなかった (nomanakatta)
won't drink,のまない (nomanai)
drinking,のんでいる (nonndeiru)
was drinking,のんでいた (nonndeita)
will be drinking,のんでいる (nonndeiru)
not drinking,のんでいない (nonndeinai)
was not drinking,のんでいなかった (nonndeinakatta)
will not be drinking,のんでいない (nonndeinai)
have drank,のんだ (nonnda)
had drank,のんだ (nonnda)
will have drank,のむ (nomu)
have not drank,のまなかった (nomanakatta)
had not drank,のまなかった (nomanakatta)
will have not drank,のまない (nomanai)
have being drinking,のんでいる (nonndeiru)
had been drinking,のんでいた (nonndeita)
will have been drinking,のんでいる (nonndeiru)
have not being drinking,のんでいない (nonndeinai)
had not been drinking,のんでいなかった (nonndeinakatta)
will have not been drinking,のんでいない (nonndeinai)
buy,かう (kau)
bought,かった (katta)
will buy,かう (kau)
doesn't buy,かわない (kawanai)
didn't buy,かわなかった (kawanakatta)
won't buy,かわない (kawanai)
buying,かっている (katteiru)
was buying,かっていた (katteita)
will be buying,かっている (katteiru)
not buying,かっていない (katteinai)
was not buying,かっていなかった (katteinakatta)
will not be buying,かっていない (katteinai)
have bought,かった (katta)
had bought,かった (katta)
will have bought,かう (kau)
have not bought,かわなかった (kawanakatta)
had not bought,かわなかった (kawanakatta)
will have not bought,かわない (kawanai)
have being buying,かっている (katteiru)
had been buying,かっていた (katteita)
will have been buying,かっている (katteiru)
have not being buying,かっていない (katteinai)
had not been buying,かっていなかった (katteinakatta)
will have not been buying,かっていない (katteinai)
watch,みる (miru)
watched,みた (mita)
will watch,みる (miru)
doesn't watch,みない (minai)
didn't watch,みなかった (minakatta)
won't watch,みない (minai)
watching,みている (miteiru)
was watching,みていた (miteita)
will be watching,みている (miteiru)
not watching,みていない (miteinai)
was not watching,みていなかった (miteinakatta)
will not be watching,みていない (miteinai)
have watched,みた (mita)
had watched,みた (mita)
will have watched,みる (miru)
have not watched,みなかった (minakatta)
had not watched,みなかった (minakatta)
will have not watched,みない (minai)
have being watching,みている (miteiru)
had been watching,みていた (miteita)
will have been watching,みている (miteiru)
have not being watching,みていない (miteinai)
had not been watching,みていなかった (miteinakatta)
will have not been watching,みていない (miteinai)
look,みる (miru)
looked,みた (mita)
will look,みる (miru)
doesn't look,みない (minai)
didn't look,みなかった (minakatta)
won't look,みない (minai)
looking,みている (miteiru)
was looking,みていた (miteita)
will be looking,みている (miteiru)
not looking,みていない (miteinai)
was not looking,みていなかった (miteinakatta)
will not be looking,みていない (miteinai)
have looked,みた (mita)
had looked,みた (mita)
will have looked,みる (miru)
have not looked,みなかった (minakatta)
had not looked,みなかった (minakatta)
will have not looked,みない (minai)
have being looking,みている (miteiru)
had been looking,みていた (miteita)
will have been looking,みている (miteiru)
have not being looking,みていない (miteinai)
had not been looking,みていなかった (miteinakatta)
will have not been looking,みていない (miteinai)
see,みる (miru)
saw,みた (mita)
will see,みる (miru)
doesn't see,みない (minai)
didn't see,みなかった (minakatta)
won't see,みない (minai)
seeing,みている (miteiru)
was seeing,みていた (miteita)
will be seeing,みている (miteiru)
not seeing,みていない (miteinai)
was not seeing,みていなかった (miteinakatta)
will not be seeing,みていない (miteinai)
have saw,みた (mita)
had saw,みた (mita)
will have saw,みる (miru)
have not saw,みなかった (minakatta)
had not saw,みなかった (minakatta)
will have not saw,みない (minai)
have being seeing,みている (miteiru)
had been seeing,みていた (miteita)
will have been seeing,みている (miteiru)
have not being seeing,みていない (miteinai)
had not been seeing,みていなかった (miteinakatta)
will have not been seeing,みていない (miteinai)
put,おく (oku)
puted,おいた (oita)
will put,おく (oku)
doesn't put,おかない (okanai)
didn't put,おかなかった (okanakatta)
won't put,おかない (okanai)
puting,おいている (oiteiru)
was puting,おいていた (oiteita)
will be puting,おいている (oiteiru)
not puting,おいていない (oiteinai)
was not puting,おいていなかった (oiteinakatta)
will not be puting,おいていない (oiteinai)
have puted,おいた (oita)
had puted,おいた (oita)
will have puted,おく (oku)
have not puted,おかなかった (okanakatta)
had not puted,おかなかった (okanakatta)
will have not puted,おかない (okanai)
have being puting,おいている (oiteiru)
had been puting,おいていた (oiteita)
will have been puting,おいている (oiteiru)
have not being puting,おいていない (oiteinai)
had not been puting,おいていなかった (oiteinakatta)
will have not been puting,おいていない (oiteinai)
